,1980-1989,1990-1999,2000-2009,2010-2019,2020-2029,2030-2039,2040-2049,2050-2059,2060-2069,2070-2079,2080-2089,2090-2099,uuid
11893,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,eeb0b10c-d99d-4302-9768-09d6c76f066e
11894,0.0151406545355686,0.0076705612503623,0.0078006753161801,0.016377351322416,0.0281629656620903,0.0146215181489135,0.0136446585244111,0.0069985045777972,0.007203638937359,0.021563710425711,0.0173987035731554,0.0066673145579839,faab54d3-04b8-4a3f-b264-0ba57868ec44
11895,0.0201618768679473,0.0336525657137398,0.0205791773774277,0.0668795343929909,0.0426453577680602,0.0229308816971299,0.0609097498118619,0.0516963387483407,0.0352132207663535,0.0496620638465626,0.0476805510366326,0.0648728569245041,c731feda-9290-4408-9a66-bedef8a85f75
11896,0.0041429639059564,0.0065391355685105,0.0038367802481285,0.0065887498233738,0.0057555268189929,0.0036435755824548,0.0018685151636043,0.0013551919282416,0.0011319409957631,0.0014358781279801,0.0019282811496487,0.0012850875652454,e7e20c2b-c742-46a7-8a42-0c06b11340b8
11897,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,bdb4bae3-48b8-492c-9265-1682b249e665
11898,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,814a9df0-9b72-4262-b652-2788f9a28110
11899,0.0020687695690394,0.0019959502340701,0.0017280705169448,0.003381288937923,0.0026210881187595,0.0018665013417001,0.0024522337123309,0.0015436411670848,0.0016867489235786,0.0029499128754187,0.0029592059791369,0.0020750250008173,143d433f-3a73-40f1-9f49-7f4b84dbf251
11900,0.0020687695690394,0.0019959502340701,0.0017280705169448,0.003381288937923,0.0026210881187595,0.0018665013417001,0.0024522337123309,0.0015436411670848,0.0016867489235786,0.0029499128754187,0.0029592059791369,0.0020750250008173,debb632c-3966-437d-a294-aafe332d10ce
11901,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,3fb27d8f-e280-4333-8904-dda821a0a69c
11902,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,3cfcf6b3-6b56-4e17-ae50-dbea5431f7ac
11903,0.0158189858355248,0.0101026220888065,0.0093727664906917,0.0242354930526361,0.0240636998998185,0.0186759863967742,0.0152055087220493,0.0048505717340409,0.0116097256020339,0.0228020720590047,0.0154107849140269,0.0072707115619304,9bc74902-8e49-4238-aaaa-2f274d92d10d
11904,0.0151783256585204,0.0262477341825736,0.0160165044746696,0.070867866055433,0.0348669298728015,0.0231193899030894,0.0459717417628195,0.0418602387481488,0.0268449547755458,0.0375263796999363,0.0356929218869151,0.0499253057802922,3e2a734f-04c1-4a0f-b95b-2d8380f4c714
11905,0.0151406545355686,0.0076705612503623,0.0078006753161801,0.016377351322416,0.0281629656620903,0.0146215181489135,0.0136446585244111,0.0069985045777972,0.007203638937359,0.021563710425711,0.0173987035731554,0.0066673145579839,578cfc1f-7d8f-40ae-bf07-7d85e131bdde
11906,0.0201618768679473,0.0336525657137398,0.0205791773774277,0.0668795343929909,0.0426453577680602,0.0229308816971299,0.0609097498118619,0.0516963387483407,0.0352132207663535,0.0496620638465626,0.0476805510366326,0.0648728569245041,a2234837-1ed4-4949-b568-fab8e5d02ebe
11907,0.0201618768679473,0.0336525657137398,0.0205791773774277,0.0668795343929909,0.0426453577680602,0.0229308816971299,0.0609097498118619,0.0516963387483407,0.0352132207663535,0.0496620638465626,0.0476805510366326,0.0648728569245041,d25b2c9c-c750-41f5-a46b-bce0e95c21bc
11908,0.0201618768679473,0.0336525657137398,0.0205791773774277,0.0668795343929909,0.0426453577680602,0.0229308816971299,0.0609097498118619,0.0516963387483407,0.0352132207663535,0.0496620638465626,0.0476805510366326,0.0648728569245041,a20645f3-037c-422e-b42d-fbddbfad3a86
11909,0.0201618768679473,0.0336525657137398,0.0205791773774277,0.0668795343929909,0.0426453577680602,0.0229308816971299,0.0609097498118619,0.0516963387483407,0.0352132207663535,0.0496620638465626,0.0476805510366326,0.0648728569245041,3ba52edf-a17c-4594-a696-d3cd31d59320
11910,0.0020687695690394,0.0019959502340701,0.0017280705169448,0.003381288937923,0.0026210881187595,0.0018665013417001,0.0024522337123309,0.0015436411670848,0.0016867489235786,0.0029499128754187,0.0029592059791369,0.0020750250008173,b79cb58e-52b9-413a-9895-afa1a97ff646
11911,0.0086353503258033,0.0134631228734948,0.0080116038065835,0.013841904831628,0.0120244859082576,0.0076548424825746,0.0042267871060446,0.0029747072477434,0.0026023877256496,0.0034635418241211,0.0044512768892224,0.0029873901178128,a63be938-db47-484f-ad33-96352a07c027
11912,0.0020687695690394,0.0019959502340701,0.0017280705169448,0.003381288937923,0.0026210881187595,0.0018665013417001,0.0024522337123309,0.0015436411670848,0.0016867489235786,0.0029499128754187,0.0029592059791369,0.0020750250008173,249bc22f-42e2-4261-b4d4-270c62966bd4
11913,0.0106147549688401,0.0024952005154499,0.008210475263525,0.0245343731749299,0.0250157899978917,0.0218192705920175,0.0241366513690028,0.0168370339123971,0.0161685085712559,0.0197417482082577,0.0184085251093019,0.0127079468337421,c298d817-6fb4-492f-ba38-8a26b0441521
11914,0.004543127667756,0.0022948862276423,0.0034745765056794,0.0110880930281447,0.0052554139804475,0.0088282928794119,0.0058733782165891,0.0072470343413035,0.0050997998266727,0.0086001099230307,0.0074232633861101,0.0054254585176791,5b441bbc-0512-4db9-a690-23aed4698433
