,lat,lng,zip_code,uuid
0,41.061,-73.5493,6902,07837f68-3011-4028-beec-8a2c6a501a21
1,41.1272,-73.4433,6850,fe650d57-94e1-49db-a935-6807a4bd31f7
2,40.252,-74.5126,8520,8ce6f931-5090-4982-a8a8-fafb709941a6
3,40.8553,-74.3996,7054,0325fb84-9592-4e63-aa95-60064bb4241a
4,41.061,-73.5493,6902,e1c9189b-0418-4e91-94f3-d665aecc6559
5,41.061,-73.5493,6902,ca83ec52-bb87-4752-8341-26c75bde4974
6,41.061,-73.5493,6902,b1aeee28-8dac-4cbe-8641-ff4b7c5fe173
7,41.061,-73.5493,6902,de73b5ac-fff6-406f-9e8a-c38b0b8bc0d6
8,41.3768,-73.4601,6810,9dbd2282-e398-454b-a074-95fe1d2765f6
9,42.3987,-71.2592,2451,7cdbafd8-e41c-4a57-9364-33245b2d3101
10,40.252,-74.5126,8520,2df67fd6-8f43-4494-8318-0171ffc30b41
11,40.3679,-74.6543,8540,6fafea0f-6ccf-4fce-8aaf-c8b1d3206eea
12,40.3679,-74.6543,8540,52788d11-e5cc-4cd2-8b5e-d39f15e38712
13,40.7334,-74.1735,7102,5411abc9-45d1-41a1-a89b-a435073c44a9
14,40.7208,-74.0459,7302,8440e3cb-d548-45e7-b5ba-f295074dd84f
15,40.739,-74.1953,7103,e7947dbd-415f-452f-afff-77a56e056ee4
16,40.3679,-74.6543,8540,a643e03c-6b36-43ba-a144-30f222b1b701
17,42.3621,-71.068,2114,5aaf1722-95c5-47ae-987c-45a31fcf055f
18,41.3375,-73.2254,6468,62b33342-e003-4ef0-abca-daca418f8628
19,42.1808,-72.5635,1020,e1e4cb88-78d0-4680-b5c4-29f6b2518f59
20,41.7742,-72.196,6250,7f6964ee-347d-45a5-a135-bbc55e616b1f
21,41.3059,-73.1393,6484,58d57182-fdfc-4636-ad78-65610365dd55
22,26.1179,-80.1441,33394,0147ac48-cb12-4b4c-8b54-65e899a3b61d
23,26.1179,-80.1441,33394,d9238fd1-3172-490f-9fff-8c097af690a6
24,40.7142,-74.0692,7304,43f365ec-adba-4dce-a0ae-b669784ec6fd
25,40.7265,-74.4156,7928,d060c01a-fe20-4844-968f-dc48a64d8ce9
26,39.948,-74.9047,8054,be034cc5-b0c6-4953-9ebb-1671522524ff
